_date,total_clones,unique_clones
2022-03-24,220,73
2022-03-25,244,31
2022-03-26,76,9
2022-03-27,21,6
2022-03-28,52,16
2022-03-29,44,12
2022-03-30,140,62
2022-03-31,266,63
2022-04-01,262,47
2022-04-02,196,43
2022-04-03,152,33
2022-04-04,140,15
2022-04-05,233,67
2022-04-06,214,91
2022-04-07,264,98
2022-04-08,71,38
2022-04-09,22,16
2022-04-10,125,8
2022-04-11,105,28
2022-04-12,148,63
2022-04-13,325,56
2022-04-14,187,53
2022-04-15,69,22
2022-04-16,138,11
2022-04-17,92,10
2022-04-18,35,27
2022-04-19,120,45
2022-04-20,116,37
2022-04-21,133,43
2022-04-22,83,33
2022-04-23,190,36
2022-04-24,149,24
2022-04-25,57,11
2022-04-26,27,10
2022-04-27,16,5
2022-04-28,11,5
2022-04-29,34,13
2022-04-30,16,4
2022-05-01,16,6
2022-05-02,28,5
2022-05-03,83,47
2022-05-04,80,41
2022-05-05,144,49
2022-05-06,56,21
2022-05-07,2,1
2022-05-08,112,48
2022-05-09,132,61
2022-05-10,110,54
2022-05-11,75,37
2022-05-12,226,56
2022-05-13,106,36
2022-05-14,124,33
2022-05-15,69,23
2022-05-16,32,8
2022-05-17,58,12
2022-05-18,63,11
2022-05-19,42,12
2022-05-20,91,43
2022-05-21,134,40
2022-05-22,39,18
2022-05-23,192,88
2022-05-24,310,93
2022-05-25,228,78
2022-05-26,75,43
2022-05-27,48,9
2022-05-28,80,31
2022-05-29,163,31
2022-05-30,63,33
2022-05-31,116,38
2022-06-01,170,60
2022-06-02,153,48
2022-06-03,157,51
2022-06-04,135,37
2022-06-05,104,23
2022-06-06,41,9
2022-06-07,148,68
2022-06-08,260,78
2022-06-09,259,58
2022-06-10,85,36
2022-06-11,51,10
2022-06-12,27,7
2022-06-13,88,27
2022-06-14,221,64
2022-06-15,180,43
2022-06-16,162,45
2022-06-17,245,40
2022-06-18,120,33
2022-06-19,75,37
2022-06-20,31,7
2022-06-21,37,9
2022-06-22,166,51
2022-06-23,143,55
2022-06-24,134,52
2022-06-25,63,18
2022-06-26,38,10
2022-06-27,29,9
2022-06-28,111,17
2022-06-29,125,51
2022-06-30,89,37
2022-07-01,87,27
2022-07-02,24,6
2022-07-03,115,49
2022-07-04,138,62
2022-07-05,249,63
2022-07-06,81,40
2022-07-07,71,24
2022-07-08,41,14
2022-07-09,36,14
2022-07-10,21,10
2022-07-11,80,39
2022-07-12,165,75
2022-07-13,95,58
2022-07-14,152,79
2022-07-15,183,71
2022-07-16,488,71
2022-07-17,187,67
2022-07-18,59,37
2022-07-19,92,29
2022-07-20,117,67
2022-07-21,174,86
2022-07-22,132,66
2022-07-23,220,79
2022-07-24,112,57
2022-07-25,18,9
2022-07-26,227,87
2022-07-27,273,81
2022-07-28,200,60
2022-07-29,142,64
2022-07-30,210,70
2022-07-31,98,47
2022-08-01,30,6
2022-08-02,41,9
2022-08-03,144,46
2022-08-04,193,83
2022-08-05,107,60
2022-08-06,180,64
2022-08-07,87,43
2022-08-08,5,3
2022-08-09,66,44
2022-08-10,276,100
2022-08-11,184,72
2022-08-12,103,59
2022-08-13,183,62
2022-08-14,129,55
2022-08-15,150,70
2022-08-16,205,81
2022-08-17,179,83
2022-08-18,100,58
2022-08-19,44,21
2022-08-20,3,2
2022-08-21,1,1
2022-08-22,16,4
2022-08-23,45,7
2022-08-24,13,7
2022-08-25,7,5
2022-08-26,23,5
2022-08-27,89,36
2022-08-28,124,50
2022-08-29,51,32
2022-08-30,25,19
2022-08-31,56,27
2022-09-01,72,36
2022-09-02,91,50
2022-09-03,170,57
2022-09-04,152,61
2022-09-05,48,31
2022-09-06,94,63
2022-09-07,293,111
2022-09-08,270,96
2022-09-09,229,83
2022-09-10,152,65
2022-09-11,83,41
2022-09-12,23,9
2022-09-13,291,108
2022-09-14,247,81
2022-09-15,122,60
2022-09-16,72,31
2022-09-17,70,38
2022-09-18,157,70
2022-09-19,227,97
2022-09-20,272,97
2022-09-21,218,83
2022-09-22,118,63
2022-09-23,165,67
2022-09-24,134,51
2022-09-25,157,59
2022-09-26,61,38
2022-09-27,86,45
2022-09-28,92,49
2022-09-29,207,97
2022-09-30,207,86
2022-10-01,148,73
2022-10-02,38,28
2022-10-03,18,5
2022-10-04,13,4
2022-10-05,7,3
2022-10-06,75,41
2022-10-07,82,51
2022-10-08,25,18
2022-10-09,1,1
2022-10-10,24,9
2022-10-11,11,7
2022-10-12,104,58
2022-10-13,192,78
2022-10-14,204,85
2022-10-15,158,73
2022-10-16,109,49
2022-10-17,46,25
2022-10-18,109,46
2022-10-19,92,46
2022-10-20,109,51
2022-10-21,124,58
2022-10-22,105,36
2022-10-23,65,34
2022-10-24,18,3
2022-10-25,53,9
2022-10-26,133,43
2022-10-27,98,47
2022-10-28,69,32
2022-10-29,34,13
2022-10-31,10,6
2022-11-01,94,54
2022-11-02,135,69
2022-11-03,141,67
2022-11-04,98,57
2022-11-05,81,38
2022-11-06,36,26
2022-11-07,87,32
2022-11-08,70,39
2022-11-09,31,25
2022-11-10,12,4
2022-11-11,9,5
2022-11-12,12,6
2022-11-13,18,16
2022-11-14,5,3
2022-11-15,54,38
2022-11-16,77,48
2022-11-17,69,40
2022-11-18,65,33
2022-11-19,151,63
2022-11-20,133,60
2022-11-21,114,53
2022-11-22,205,67
2022-11-23,146,66
2022-11-24,159,73
2022-11-25,198,72
2022-11-26,219,70
2022-11-27,97,47
2022-11-28,14,9
2022-11-29,61,22
2022-11-30,141,73
2022-12-01,225,89
2022-12-02,192,77
2022-12-03,212,57
2022-12-04,121,55
2022-12-05,85,26
2022-12-06,179,72
2022-12-07,135,67
2022-12-08,136,72
2022-12-09,107,62
2022-12-10,117,48
2022-12-11,79,42
2022-12-12,83,47
2022-12-13,184,75
2022-12-14,170,83
2022-12-15,233,83
2022-12-16,211,88
2022-12-17,174,72
2022-12-18,92,63
2022-12-19,98,56
2022-12-20,86,52
2022-12-21,95,62
2022-12-22,64,42
2022-12-23,74,50
2022-12-24,58,23
2022-12-25,47,18
2022-12-26,80,51
2022-12-27,79,47
2022-12-28,29,27
2022-12-29,18,14
2022-12-30,193,98
2022-12-31,254,111
2023-01-01,180,92
2023-01-02,68,45
2023-01-03,197,113
2023-01-04,203,93
2023-01-05,155,77
2023-01-06,117,65
2023-01-07,155,56
2023-01-08,88,54
2023-01-09,70,52
2023-01-10,180,65
2023-01-11,119,77
2023-01-12,215,112
2023-01-13,226,109
2023-01-14,187,78
2023-01-15,110,63
2023-01-16,311,119
2023-01-17,346,127
2023-01-18,336,121
2023-01-19,243,114
2023-01-20,139,70
2023-01-21,144,59
2023-01-22,224,94
2023-01-23,157,93
2023-01-24,135,74
2023-01-25,142,62
2023-01-26,108,65
2023-01-27,108,53
2023-01-28,136,47
2023-01-29,100,52
2023-01-30,130,82
2023-01-31,220,127
2023-02-01,174,98
2023-02-02,179,74
2023-02-03,177,72
2023-02-04,296,115
2023-02-05,295,125
2023-02-06,153,97
2023-02-07,151,82
2023-02-08,187,80
2023-02-09,137,74
2023-02-10,176,64
2023-02-11,120,57
2023-02-12,89,52
2023-02-13,72,51
2023-02-14,94,54
2023-02-15,102,57
2023-02-16,100,57
2023-02-17,97,51
2023-02-18,147,48
2023-02-19,103,49
2023-02-20,110,71
2023-02-21,166,95
2023-02-22,128,78
2023-02-23,98,65
2023-02-24,100,60
2023-02-25,125,71
2023-02-26,312,125
2023-02-27,188,113
2023-02-28,278,140
2023-03-01,176,92
2023-03-02,121,65
2023-03-03,103,45
2023-03-04,105,51
2023-03-05,91,54
2023-03-06,93,50
2023-03-07,108,61
2023-03-08,171,92
2023-03-09,345,142
2023-03-10,288,126
2023-03-11,292,121
2023-03-12,274,121
2023-03-13,83,51
2023-03-14,149,88
2023-03-15,163,98
2023-03-16,162,89
2023-03-17,144,88
2023-03-18,189,89
2023-03-19,198,104
2023-03-20,112,77
2023-03-21,166,86
2023-03-22,244,92
2023-03-23,285,132
2023-03-24,292,126
2023-03-25,189,83
2023-03-26,91,42
2023-03-27,101,61
2023-03-28,213,110
2023-03-29,234,115
2023-03-30,155,93
2023-03-31,166,85
2023-04-01,198,98
2023-04-02,165,96
2023-04-03,98,50
2023-04-04,122,54
2023-04-05,127,61
2023-04-06,120,58
2023-04-07,106,60
2023-04-08,203,104
2023-04-09,222,105
2023-04-10,69,45
2023-04-11,126,68
2023-04-12,145,67
2023-04-13,250,116
2023-04-14,240,104
2023-04-15,160,88
2023-04-16,164,87
2023-04-17,166,89
2023-04-18,262,105
2023-04-19,218,114
2023-04-20,241,104
2023-04-21,279,109
2023-04-22,264,94
2023-04-23,185,85
2023-04-24,168,85
2023-04-25,248,98
2023-04-26,173,80
2023-04-27,219,107
2023-04-28,277,105
2023-04-29,267,96
2023-04-30,231,95
2023-05-01,183,105
2023-05-02,282,122
2023-05-03,332,121
2023-05-04,277,120
2023-05-05,202,96
2023-05-06,156,80
2023-05-07,107,54
2023-05-08,71,46
2023-05-09,123,46
2023-05-10,95,54
2023-05-11,92,62
2023-05-12,148,75
2023-05-13,162,81
2023-05-14,167,84
2023-05-15,189,109
2023-05-16,274,134
2023-05-17,277,141
2023-05-18,282,132
2023-05-19,146,88
2023-05-20,86,48
2023-05-21,87,54
2023-05-22,204,120
2023-05-23,287,132
2023-05-24,281,147
2023-05-25,160,99
2023-05-26,104,56
2023-05-27,138,77
2023-05-28,145,80
2023-05-29,183,103
2023-05-30,280,130
2023-05-31,277,134
2023-06-01,259,133
2023-06-02,224,114
2023-06-03,194,102
2023-06-04,172,93
2023-06-05,106,70
2023-06-06,152,85
2023-06-07,178,100
2023-06-08,170,92
2023-06-09,146,74
2023-06-10,159,75
2023-06-11,150,76
2023-06-12,190,113
2023-06-13,300,132
2023-06-14,277,142
2023-06-15,163,92
2023-06-16,104,62
2023-06-17,87,51
2023-06-18,94,47
2023-06-19,66,43
2023-06-20,104,60
2023-06-21,119,69
2023-06-22,107,59
2023-06-23,190,96
2023-06-24,212,101
2023-06-25,184,96
2023-06-26,151,97
2023-06-27,213,117
2023-06-28,230,119
2023-06-29,242,119
2023-06-30,229,108
2023-07-01,364,112
2023-07-02,355,120
2023-07-03,254,128
2023-07-04,413,149
2023-07-05,414,160
2023-07-06,266,130
2023-07-07,195,97
2023-07-08,267,122
2023-07-09,277,120
2023-07-10,172,105
2023-07-11,102,54
2023-07-12,114,55
2023-07-13,159,45
2023-07-14,161,50
2023-07-15,98,46
2023-07-16,103,49
2023-07-17,75,47
2023-07-18,119,65
2023-07-19,94,51
2023-07-20,125,53
2023-07-21,110,52
2023-07-22,98,43
2023-07-23,154,63
2023-07-24,137,85
2023-07-25,140,88
2023-07-26,100,54
2023-07-27,108,61
2023-07-28,115,50
2023-07-29,89,37
2023-07-30,96,48
2023-07-31,71,48
2023-08-01,116,59
2023-08-02,160,49
2023-08-03,106,65
2023-08-04,98,49
2023-08-05,97,46
2023-08-06,94,48
2023-08-07,71,55
2023-08-08,113,66
2023-08-09,101,60
2023-08-10,92,56
2023-08-11,89,41
2023-08-12,79,38
2023-08-13,67,34
2023-08-14,36,25
2023-08-15,7,6
2023-08-16,10,10
2023-08-17,15,8
2023-08-18,23,12
2023-08-19,1,1
2023-08-20,5,5
2023-08-21,24,11
2023-08-22,11,7
2023-08-23,75,21
2023-08-24,13,6
2023-08-25,8,6
2023-08-26,6,6
2023-08-27,8,7
2023-08-28,5,4
2023-08-29,10,8
2023-08-30,22,14
2023-08-31,13,9
2023-09-01,12,9
2023-09-02,2,1
2023-09-03,5,5
2023-09-04,17,8
2023-09-05,6,3
2023-09-06,12,5
2023-09-07,23,14
2023-09-08,6,4
2023-09-09,6,6
2023-09-11,6,5
2023-09-12,13,9
2023-09-13,15,11
2023-09-14,10,8
2023-09-15,14,12
2023-09-16,2,2
2023-09-18,8,6
2023-09-19,5,3
2023-09-20,20,13
2023-09-21,13,8
2023-09-22,17,14
2023-09-23,2,1
2023-09-24,7,6
2023-09-25,11,8
2023-09-26,21,11
2023-09-27,14,8
2023-09-28,8,6
2023-09-29,17,7
2023-09-30,1,1
2023-10-02,5,4
2023-10-03,5,4
2023-10-04,6,4
2023-10-05,6,6
2023-10-06,14,6
2023-10-07,1,1
2023-10-09,10,8
2023-10-10,7,5
2023-10-11,19,6
2023-10-12,6,4
2023-10-13,14,4
2023-10-14,1,1
2023-10-16,9,5
2023-10-17,9,7
2023-10-18,16,6
2023-10-19,11,6
2023-10-20,16,5
2023-10-21,1,1
2023-10-23,9,5
2023-10-24,8,5
2023-10-25,8,7
2023-10-26,9,6
2023-10-27,12,6
2023-10-28,1,1
2023-10-29,1,1
2023-10-30,15,9
2023-10-31,14,7
2023-11-01,15,8
2023-11-02,25,13
2023-11-03,15,7
2023-11-04,1,1
2023-11-05,1,1
2023-11-06,12,8
2023-11-07,14,7
2023-11-08,14,5
2023-11-09,24,9
2023-11-10,5,4
2023-11-11,1,1
2023-11-13,8,5
2023-11-14,8,4
2023-11-15,10,5
2023-11-16,10,5
2023-11-17,6,5
2023-11-18,1,1
2023-11-20,4,3
2023-11-21,11,6
2023-11-22,29,12
2023-11-23,14,10
2023-11-24,6,6
2023-11-25,3,3
2023-11-26,1,1
2023-11-27,8,4
2023-11-28,12,6
2023-11-29,10,6
2023-11-30,3,2
2023-12-01,4,2
2023-12-02,1,1
2023-12-04,7,6
2023-12-05,16,6
2023-12-06,14,8
2023-12-07,15,10
2023-12-08,10,6
2023-12-09,2,2
2023-12-11,14,8
2023-12-12,49,22
2023-12-13,9,5
2023-12-14,6,5
2023-12-15,4,3
2023-12-16,1,1
